yolov3-voc-snowman
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
544
Loaded: 0.000025 seconds
Region 82 Avg IOU: 0.188000, Class: 0.616988, Obj: 0.519215, No Obj: 0.469183, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513970, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470701, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.230447, Class: 0.537696, Obj: 0.484133, No Obj: 0.469432, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514369, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469484, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.316139, Class: 0.426080, Obj: 0.468614, No Obj: 0.468951, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513530, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470650, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.113796, Class: 0.359176, Obj: 0.533535, No Obj: 0.468097, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514342, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470097, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.242072, Class: 0.474941, Obj: 0.370396, No Obj: 0.466812, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513691, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469031, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.151005, Class: 0.553322, Obj: 0.617048, No Obj: 0.466952, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.146824, Class: 0.713177, Obj: 0.074094, No Obj: 0.513904, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.467942, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.260349, Class: 0.457058, Obj: 0.563887, No Obj: 0.469439, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513521, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468656, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.221298, Class: 0.509712, Obj: 0.519561, No Obj: 0.469814, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513207, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.471732, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.278383, Class: 0.561334, Obj: 0.272236, No Obj: 0.467930, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513707, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469584, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.230641, Class: 0.649618, Obj: 0.281820, No Obj: 0.467880, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 94 Avg IOU: 0.149776, Class: 0.507490, Obj: 0.319633, No Obj: 0.513401, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470111, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.191370, Class: 0.715707, Obj: 0.517621, No Obj: 0.468491, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513912, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470652, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.139619, Class: 0.358312, Obj: 0.515145, No Obj: 0.470230, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513926, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.472140, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.181332, Class: 0.606772, Obj: 0.463223, No Obj: 0.468261, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514104, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469787, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.310501, Class: 0.639638, Obj: 0.510258, No Obj: 0.467231, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513584, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469135, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.169157, Class: 0.356340, Obj: 0.688990, No Obj: 0.469024, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513982, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470463, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.147407, Class: 0.354040, Obj: 0.370227, No Obj: 0.467793, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: 0.033359, Class: 0.218845, Obj: 0.315563, No Obj: 0.513748, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468647, .5R: -nan, .75R: -nan,  count: 0
1: 1645.304199, 1645.304199 avg, 0.000000 rate, 10.042507 seconds, 64 images
Loaded: 0.000027 seconds
Region 82 Avg IOU: 0.248372, Class: 0.477271, Obj: 0.277772, No Obj: 0.469865, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514802, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470218, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.327143, Class: 0.400078, Obj: 0.658626, No Obj: 0.468724, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513441, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470581, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.269015, Class: 0.603041, Obj: 0.608340, No Obj: 0.468373, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514597, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468660, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.395766, Class: 0.536876, Obj: 0.798397, No Obj: 0.469684, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.113869, Class: 0.743931, Obj: 0.130412, No Obj: 0.513876, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468459, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.341830, Class: 0.595781, Obj: 0.373779, No Obj: 0.468861, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514073, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468131, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.210467, Class: 0.618432, Obj: 0.167338, No Obj: 0.470343, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514016, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468218, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.346910, Class: 0.545222, Obj: 0.465696, No Obj: 0.467487, .5R: 0.200000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513441, .5R: -nan, .75R: -nan,  count: 0
